,cell.ID,nucleus.x,nucleus.y,CD15.score.normalized,CK.score.normalized,CD3.score.normalized,CD11c.score.normalized,CD20.score.normalized,CD163.score.normalized,tissue.type
180,233,11325.26,32403.27,2.23,1.17,2.89,0.0,2.32,1.31,tumor
181,234,11334.63,32304.28,0.14,0.09,0.16,0.0,0.0,0.07,stroma
182,235,11390.43,32327.09,0.19,0.69,0.28,0.28,1.46,2.4,stroma
183,236,11287.0,32329.22,0.0,1.27,0.07,0.32,0.05,0.95,tumor
184,237,11476.77,32306.73,0.54,0.9,2.99,0.97,0.0,1.42,stroma
185,238,11380.36,32379.15,0.06,0.44,0.75,0.81,3.56,1.94,stroma
186,239,11435.19,32183.25,0.48,1.96,2.14,0.35,3.04,3.19,tumor
187,240,11375.65,32383.69,0.19,0.37,2.49,0.0,0.11,0.18,stroma
188,241,11395.91,32136.39,0.25,0.38,2.09,0.85,0.32,0.47,tumor
189,242,11501.97,32471.1,0.09,0.74,1.2,1.12,0.27,0.47,stroma
190,243,11409.49,32351.84,0.0,0.52,0.0,0.0,0.23,0.26,stroma
191,244,11410.44,32651.35,0.0,0.73,2.84,1.05,0.0,0.14,stroma
192,245,11358.25,32596.7,1.33,0.05,0.13,0.39,0.0,0.0,stroma
193,246,11461.67,32463.74,0.33,1.2,1.79,0.77,0.42,1.89,tumor
194,247,11275.13,32336.84,0.26,2.36,0.06,0.92,0.33,1.1,tumor
195,248,11485.49,32361.02,0.12,0.08,0.15,0.68,0.23,0.13,stroma
196,249,11286.89,32560.44,0.05,1.21,0.0,0.22,0.0,1.42,tumor
197,250,11396.79,32640.86,0.47,0.81,1.51,1.72,1.09,0.9,stroma
198,251,11213.7,32434.49,0.0,0.04,0.6,0.63,0.32,0.12,stroma
199,252,11369.66,32546.68,0.0,0.25,0.0,0.18,0.1,0.11,stroma
200,253,11412.01,32218.22,0.27,0.02,0.0,0.31,0.06,0.02,stroma
201,254,11274.27,32517.17,0.0,0.17,0.11,0.09,0.52,0.0,stroma
202,255,11349.96,32262.1,0.01,0.0,0.15,0.32,0.05,0.14,stroma
203,256,11265.62,32343.73,0.1,1.5,0.06,0.0,0.21,1.5,tumor
204,258,11472.71,32564.69,0.26,2.22,0.27,1.49,0.49,0.15,tumor
205,259,11392.45,32293.94,0.21,4.04,0.33,0.0,0.31,0.23,stroma
206,260,11486.6,32462.72,0.27,1.16,0.0,0.6,0.0,3.13,tumor
207,261,11196.13,32430.94,0.0,0.18,0.0,0.0,0.05,0.12,stroma
208,262,11223.37,32446.27,0.06,0.03,0.47,0.0,0.01,0.11,stroma
209,263,11386.39,32357.27,0.25,1.36,1.36,0.0,2.13,1.43,stroma
210,264,11218.05,32595.28,0.0,0.03,0.01,0.01,0.22,0.13,stroma
211,265,11339.5,32426.67,0.64,1.65,2.44,0.08,1.43,2.67,tumor
212,266,11405.38,32529.02,0.11,0.29,0.11,0.6,0.02,0.27,stroma
213,267,11420.54,32474.17,0.0,0.51,0.26,0.09,0.09,0.49,stroma
214,268,11374.33,32450.56,0.29,0.2,0.15,0.39,1.96,0.59,stroma
215,269,11459.68,32491.49,0.0,0.48,0.53,0.62,2.97,0.0,stroma
216,270,11342.54,32337.16,0.17,0.96,1.01,0.19,0.64,0.14,stroma
217,271,11402.82,32112.05,0.51,2.76,0.59,0.37,0.44,1.48,tumor
218,272,11213.15,32571.95,0.1,0.08,0.15,0.0,0.0,0.13,stroma
219,273,11253.33,32495.18,0.1,0.04,0.0,0.0,0.0,1.22,stroma
220,274,11210.5,32469.67,0.0,0.0,0.14,0.0,0.0,0.0,stroma
221,275,11372.68,32261.67,0.0,0.13,0.45,0.56,0.0,0.0,stroma
222,276,11379.02,32657.67,0.0,0.07,0.02,0.0,0.1,0.0,stroma
223,277,11329.4,32312.72,0.08,0.28,0.99,0.87,0.85,0.15,stroma
224,278,11402.99,32296.36,0.14,0.66,0.42,0.44,3.12,0.21,stroma
225,279,11312.84,32280.88,0.12,0.1,0.0,0.0,0.25,0.06,stroma
226,280,11449.34,32426.62,0.13,0.83,0.58,0.4,1.03,1.06,stroma
227,281,11288.59,32314.2,0.27,2.11,0.37,0.29,0.34,0.78,tumor
228,282,11383.08,32272.37,0.12,0.16,0.33,0.0,0.29,0.22,stroma
229,283,11394.46,32653.52,0.14,1.28,0.41,2.51,0.64,0.92,tumor
230,284,11255.4,32366.47,0.09,1.81,0.0,0.0,3.07,0.11,tumor
231,285,11179.85,32436.2,0.06,0.06,0.48,0.88,0.0,0.09,stroma
232,286,11229.24,32468.36,0.0,0.09,0.38,0.0,0.01,0.09,stroma
233,287,11339.14,32443.93,0.39,1.44,0.39,0.3,0.77,4.25,tumor
234,288,11473.73,32491.62,0.0,0.71,0.05,0.0,0.27,0.13,stroma
235,289,11453.31,32562.06,0.06,0.49,0.04,0.65,0.0,0.33,stroma
236,290,11324.34,32218.86,0.05,0.09,0.3,0.0,0.0,0.07,stroma
237,291,11469.19,32482.4,0.21,1.54,0.74,0.33,0.27,1.4,tumor
238,292,11336.27,32218.79,0.1,0.05,0.39,0.0,0.0,0.2,stroma
239,293,11482.64,32593.51,0.0,0.56,0.59,0.0,0.17,0.08,stroma
240,294,11330.87,32192.24,0.17,0.03,0.34,0.0,0.54,0.04,stroma
241,295,11220.81,32404.8,0.34,0.09,0.0,0.57,0.12,0.03,stroma
242,296,11306.2,32325.05,0.22,1.46,0.46,0.0,0.0,1.89,tumor
243,297,11476.7,32175.46,0.74,3.09,1.48,0.54,1.97,2.62,tumor
244,298,11365.69,32248.43,0.13,0.0,0.3,0.0,0.0,0.0,stroma
245,299,11430.77,32308.6,0.07,0.53,0.77,0.0,0.33,0.86,stroma
246,300,11283.05,32422.07,0.3,3.48,1.35,0.0,0.47,0.83,tumor
247,301,11374.29,32317.47,0.19,0.52,1.72,0.43,2.32,1.32,stroma
248,302,11499.49,32310.96,0.64,0.3,0.21,0.6,3.23,0.6,stroma
249,303,11268.05,32395.35,0.19,1.71,1.2,0.31,0.38,0.53,tumor
250,304,11467.49,32503.11,0.16,0.67,2.42,1.08,0.38,0.98,stroma
251,305,11420.0,32183.15,0.06,0.09,1.67,0.0,0.02,0.2,stroma
252,306,11294.64,32304.38,0.27,2.18,0.4,0.0,0.0,0.91,tumor
253,307,11481.33,32219.29,0.41,2.15,0.99,0.0,0.3,2.62,tumor
254,308,11259.87,32362.93,0.1,2.91,2.27,0.25,0.29,0.61,tumor
255,309,11359.02,32413.11,0.1,0.45,1.67,0.27,0.3,0.89,stroma
256,310,11468.46,32559.32,0.29,0.69,0.0,1.68,1.18,0.52,stroma
257,311,11497.63,32191.41,0.48,3.9,3.16,1.51,0.0,1.79,tumor
258,312,11327.03,32238.01,0.07,0.07,0.0,0.0,0.02,0.1,stroma
259,313,11274.62,32384.55,0.34,6.47,2.46,0.0,2.67,3.93,tumor
260,314,11425.63,32313.2,0.23,0.87,1.6,0.64,0.49,0.89,stroma
261,316,11324.33,32276.45,0.0,0.09,0.06,0.12,0.32,0.14,stroma
262,317,11455.21,32514.77,0.4,1.16,0.53,0.14,1.32,1.42,stroma
263,318,11426.57,32503.12,0.23,0.48,1.33,0.85,0.0,1.94,stroma
264,319,11319.01,32370.89,0.05,0.69,2.81,0.34,0.66,1.3,stroma
265,320,11294.14,32296.11,0.41,2.58,2.83,0.62,0.78,1.23,tumor
266,321,11297.99,32510.69,0.09,3.87,1.32,0.0,0.09,0.23,tumor
267,322,11325.28,32234.7,0.06,0.03,0.5,0.84,0.36,0.02,stroma
268,323,11437.37,32608.26,0.13,1.05,1.62,0.59,2.63,3.65,tumor
269,324,11497.26,32383.51,0.0,0.08,0.7,0.34,0.08,0.17,stroma
270,325,11446.35,32466.24,0.23,0.95,0.69,0.26,0.1,1.09,stroma
271,326,11477.53,32462.12,0.25,0.99,0.39,0.5,0.27,1.91,tumor
272,327,11449.26,32340.73,0.14,1.24,1.47,0.13,0.03,1.5,tumor
273,328,11384.52,32527.41,0.14,0.21,0.24,0.0,0.21,0.07,stroma
274,329,11448.17,32173.43,0.51,3.2,1.76,0.0,2.3,3.7,tumor
275,330,11288.2,32630.99,0.13,0.13,3.5,0.0,0.0,0.39,stroma
276,331,11277.94,32499.52,0.0,0.26,0.17,0.88,0.0,0.0,stroma
277,332,11350.11,32459.81,0.17,1.13,2.13,0.36,0.0,1.71,tumor
278,333,11304.28,32292.68,0.05,2.74,0.9,0.0,1.1,1.87,tumor
279,334,11446.11,32496.56,0.08,0.88,0.0,0.0,0.25,0.03,stroma
280,336,11464.69,32581.31,0.47,4.56,0.47,0.02,0.36,0.23,tumor
281,337,11415.35,32284.89,0.31,0.53,1.93,0.65,2.93,2.4,stroma
282,338,11436.75,32175.91,0.45,3.17,2.45,0.56,2.08,2.92,tumor
283,339,11374.88,32524.45,0.0,0.17,0.26,0.0,0.0,0.06,stroma
284,340,11462.86,32467.63,0.26,1.19,1.42,0.64,0.07,2.25,tumor
285,341,11336.88,32384.59,0.0,0.18,1.93,0.0,1.18,0.23,stroma
286,342,11223.59,32452.48,0.0,0.05,0.46,0.0,0.0,0.13,stroma
287,343,11432.88,32644.42,0.0,0.94,0.89,0.25,0.79,0.09,stroma
288,344,11344.6,32249.54,0.0,0.09,0.23,0.07,0.0,0.02,stroma
289,345,11302.47,32391.58,0.28,2.5,2.44,0.0,0.71,1.49,tumor
290,346,11419.13,32555.89,0.32,0.61,1.13,1.76,0.2,0.44,stroma
291,347,11453.09,32135.4,0.5,4.4,0.36,0.63,0.21,2.76,tumor
292,348,11406.87,32378.37,0.21,0.08,0.07,0.0,0.0,0.24,stroma
293,349,11407.91,32513.5,0.25,0.16,0.03,1.25,0.5,1.21,stroma
294,350,11444.21,32588.49,0.12,0.86,1.78,1.23,2.41,1.11,stroma
295,351,11485.76,32649.16,0.12,1.76,0.7,0.76,0.43,0.85,tumor
296,352,11380.08,32305.26,0.16,0.63,1.81,0.17,0.46,0.92,stroma
297,353,11354.62,32241.18,0.1,0.09,0.0,0.63,0.0,0.03,stroma
298,354,11383.53,32253.96,0.0,0.03,0.0,0.55,0.26,0.11,stroma
299,355,11431.67,32592.38,0.23,1.35,0.35,0.04,0.41,1.37,tumor
300,356,11489.75,32534.87,0.38,1.45,0.81,4.35,0.36,1.46,stroma
301,357,11478.92,32564.01,0.0,0.39,0.32,0.22,0.3,0.29,stroma
302,358,11377.58,32427.44,0.32,1.23,1.78,0.52,0.92,1.33,stroma
303,359,11442.4,32450.93,0.27,0.38,1.9,0.0,0.18,0.47,stroma
304,360,11443.73,32480.05,0.4,1.34,0.3,0.0,0.85,0.48,stroma
305,361,11276.94,32244.38,0.07,0.17,0.31,0.0,0.47,0.17,stroma
306,362,11468.76,32572.17,0.05,1.39,1.95,1.7,0.25,0.26,tumor
307,363,11158.91,32479.42,0.01,0.04,0.37,0.0,0.01,0.2,stroma
308,364,11489.2,32517.16,0.16,1.44,0.32,1.53,0.27,1.35,stroma
309,365,11452.59,32112.97,0.32,0.12,0.23,0.0,0.0,0.06,tumor
310,366,11476.31,32580.71,0.2,1.03,0.0,2.16,1.12,0.47,tumor
311,367,11417.86,32249.76,0.24,0.52,1.91,0.0,1.93,1.2,stroma
312,368,11322.11,32555.19,0.86,0.72,0.0,0.62,0.0,0.93,stroma
313,369,11437.55,32625.4,0.15,0.63,2.19,0.32,0.52,0.14,stroma
314,370,11434.97,32242.47,0.14,1.38,0.0,0.75,0.24,2.73,tumor
315,371,11323.09,32310.61,0.0,0.12,1.02,0.0,0.45,0.19,stroma
316,372,11491.38,32084.99,0.48,1.06,0.0,0.81,0.48,0.51,stroma
317,373,11278.9,32243.48,0.07,0.32,0.55,0.49,0.29,0.23,stroma
318,374,11417.0,32625.98,0.21,0.44,1.84,0.73,0.14,0.06,stroma
319,375,11360.74,32473.71,0.19,1.17,2.3,0.67,0.04,1.05,tumor
320,376,11445.83,32330.93,0.18,0.44,1.11,0.24,0.35,0.34,stroma
321,377,11377.09,32478.76,0.07,0.36,2.54,0.0,0.0,0.55,stroma
322,378,11381.9,32334.97,0.0,0.94,2.51,0.17,0.22,1.8,stroma
323,379,11211.44,32422.51,0.02,0.04,0.32,0.0,0.09,0.08,stroma
324,380,11307.07,32291.79,0.28,2.79,0.85,0.0,0.23,0.48,tumor
325,381,11390.89,32282.68,0.07,0.6,0.27,1.18,1.28,0.2,stroma
326,382,11295.96,32379.98,0.42,0.83,0.5,0.46,1.95,2.76,stroma
327,383,11382.54,32341.74,0.36,0.22,0.28,0.02,2.05,1.3,stroma
328,384,11440.19,32400.26,0.62,1.54,1.08,1.52,1.82,2.73,stroma
