,cell.ID,nucleus.x,nucleus.y,CD4.score.normalized,CK.score.normalized,CD3.score.normalized,CD56.score.normalized,CD8.score.normalized,FOXP3.score.normalized,tissue.type
46,71,12345.77,39662.28,0.05,5.59,0.39,0.45,0.0,1.35,tumor
47,72,12365.75,39750.41,0.6,0.11,0.0,0.16,0.0,0.1,stroma
48,73,12776.25,39814.47,0.0,1.28,0.21,1.52,0.0,0.29,tumor
49,74,12929.65,40009.9,0.0,2.1,0.0,0.45,0.0,0.86,tumor
50,75,12878.72,39801.75,0.18,2.44,0.21,0.09,0.0,0.13,tumor
51,76,12927.22,39596.1,3.69,2.42,0.49,0.35,0.0,0.2,tumor
52,77,12457.14,39859.44,0.1,2.4,0.27,0.49,0.55,0.7,tumor
53,79,12624.92,39649.93,0.4,1.89,0.79,0.09,0.17,0.11,tumor
54,80,12787.19,39793.9,0.0,1.68,0.0,0.56,0.0,0.07,tumor
55,81,12484.69,39582.36,0.0,0.45,2.92,0.14,0.0,0.0,stroma
56,82,12852.32,39575.02,1.1,2.12,0.0,1.48,0.45,0.16,tumor
57,83,12367.03,39636.71,0.06,0.68,0.0,0.0,0.26,0.0,tumor
58,84,12411.66,39803.04,0.69,2.39,0.4,1.27,0.63,0.06,tumor
59,85,12860.42,39522.3,0.0,3.63,0.06,1.35,0.0,0.0,tumor
60,86,12891.12,39861.73,0.22,1.52,0.35,0.02,0.43,0.38,tumor
61,87,12886.92,39525.88,0.47,5.43,0.09,0.63,0.91,1.1,tumor
62,88,12352.19,39774.44,0.04,0.51,0.49,0.5,0.59,0.36,stroma
63,89,12577.4,39538.59,3.74,1.03,0.93,0.0,0.0,0.14,stroma
64,91,12836.95,39820.96,0.31,0.17,0.48,0.18,0.64,0.33,stroma
65,92,12418.95,39562.4,1.14,0.58,0.0,0.04,0.05,0.0,stroma
66,93,12725.92,39912.21,0.22,0.4,0.17,0.17,0.0,0.01,stroma
67,94,12488.33,39559.03,1.28,0.32,0.66,0.0,0.28,0.0,stroma
68,95,12566.66,39743.38,0.22,2.19,0.0,0.22,0.64,0.3,tumor
69,96,12907.18,39866.48,0.0,5.83,0.12,0.04,0.27,0.39,tumor
70,97,12450.39,39813.95,0.0,1.72,0.67,0.0,0.0,0.24,tumor
71,98,12603.36,39887.34,0.0,1.73,0.08,0.58,0.0,0.13,tumor
72,99,12934.45,39624.05,1.1,0.36,0.0,0.0,0.64,0.09,stroma
73,100,12485.45,39604.1,0.6,0.62,0.15,0.28,0.75,0.0,stroma
74,101,12923.57,39753.29,1.08,2.6,0.23,0.31,0.0,0.64,tumor
75,103,12878.44,40007.55,0.0,4.64,0.71,0.0,0.47,0.0,tumor
76,104,12457.81,39515.99,0.0,5.81,0.0,0.0,0.0,0.97,tumor
77,105,12732.52,39679.77,0.0,2.27,0.0,0.48,0.0,0.03,tumor
78,106,12760.75,39748.46,1.4,0.49,0.17,0.0,1.09,0.74,stroma
79,107,12707.96,39743.45,0.02,3.25,0.16,1.27,0.0,1.33,tumor
80,108,12684.64,39560.07,0.1,0.4,0.0,0.0,0.0,0.05,stroma
81,109,12364.07,39920.61,0.0,3.45,0.0,0.02,0.35,0.0,tumor
82,110,12501.0,39943.04,0.36,1.8,0.14,0.06,0.16,0.87,tumor
83,111,12600.87,39807.54,0.55,3.26,0.32,1.24,0.78,0.0,tumor
84,112,12636.48,39528.25,0.18,0.23,4.52,0.08,0.4,0.14,stroma
85,113,12546.51,39610.49,0.47,2.73,0.42,0.15,0.0,0.18,tumor
86,114,12384.99,39615.66,1.69,4.65,0.35,0.0,0.83,0.09,tumor
87,115,12922.21,39598.95,1.21,1.84,0.0,0.51,0.0,0.0,tumor
88,116,12828.05,39943.0,0.0,1.5,0.02,0.55,1.2,0.72,tumor
89,117,12726.04,39954.84,0.7,1.99,0.01,0.16,1.04,0.53,tumor
90,118,12716.73,39829.16,0.0,3.04,0.69,0.63,0.3,0.5,tumor
91,119,12760.1,39919.28,0.58,2.15,0.0,0.35,0.0,0.23,tumor
92,120,12570.84,39966.31,0.05,3.44,0.58,0.98,0.2,0.68,tumor
93,121,12627.76,39883.87,0.05,2.16,0.54,1.42,0.64,0.0,tumor
94,122,12609.92,39678.51,0.19,2.19,0.18,0.53,0.0,0.0,tumor
95,123,12338.23,39722.8,0.66,3.06,0.18,0.33,0.28,0.0,tumor
96,124,12528.62,39521.83,2.02,0.28,1.33,0.15,0.81,0.81,stroma
97,125,12932.13,39538.91,3.38,0.48,0.73,0.27,1.09,0.67,stroma
98,126,12812.77,39801.2,0.56,5.42,0.04,1.16,0.0,0.0,tumor
99,127,12921.95,39873.52,0.91,0.49,0.29,0.07,0.63,0.0,stroma
100,128,12551.59,39970.94,0.14,1.35,0.11,0.32,0.13,0.32,tumor
101,129,12760.47,39525.3,0.0,0.33,0.44,0.11,0.01,0.0,stroma
102,130,12931.33,39765.07,2.96,3.19,0.38,0.81,0.17,0.07,tumor
103,132,12898.85,39666.49,0.5,3.77,0.3,0.0,0.0,0.0,tumor
104,133,12579.54,39515.02,1.27,2.85,5.57,0.04,1.37,0.87,tumor
105,134,12365.36,39648.01,1.81,2.19,0.6,0.49,0.0,0.47,tumor
106,135,12615.99,39948.58,0.0,1.63,0.0,0.91,0.72,0.25,tumor
107,136,12836.29,39960.08,0.0,2.01,0.0,0.07,0.44,0.0,tumor
108,137,12610.14,39691.88,0.89,1.53,0.04,0.45,0.61,0.0,tumor
109,138,12749.13,39890.15,0.0,0.44,0.07,0.05,0.0,0.21,stroma
110,139,12775.58,40007.66,0.0,2.03,0.0,0.2,0.0,0.1,tumor
111,140,12496.29,39515.86,0.09,2.9,0.0,0.0,0.11,0.27,tumor
112,141,12558.29,39524.35,0.52,0.67,2.44,0.02,1.64,0.0,stroma
113,142,12494.12,39603.35,0.59,0.31,1.05,0.07,0.34,0.28,stroma
114,143,12526.1,39645.9,2.86,1.42,1.13,0.12,0.41,0.44,tumor
115,144,12385.87,39762.63,0.02,2.1,0.23,0.5,0.0,0.01,tumor
116,145,12532.31,39960.07,1.14,3.15,0.0,0.35,0.08,0.39,tumor
117,146,12668.83,39672.59,0.0,1.39,0.03,1.21,0.0,0.0,tumor
118,147,12722.15,40017.76,0.27,0.21,0.0,0.0,0.0,0.32,stroma
119,148,12738.85,39845.92,0.0,0.49,0.26,0.02,0.53,0.6,stroma
120,149,12677.53,39708.29,0.0,2.26,0.03,1.17,0.81,0.2,tumor
121,150,12773.83,40020.27,0.0,1.87,0.0,0.08,0.0,0.0,tumor
122,151,12468.09,39928.33,0.0,2.14,0.0,0.0,1.13,0.21,tumor
123,152,12908.36,39516.62,1.8,2.46,0.2,0.15,0.16,0.61,tumor
124,153,12934.68,39844.12,0.0,2.76,0.31,0.27,0.0,0.35,tumor
125,154,12808.42,39854.0,0.11,2.77,0.43,0.16,0.0,0.23,tumor
126,155,12373.41,39614.19,2.39,2.49,0.62,0.15,0.76,1.03,tumor
127,156,12654.02,39929.92,0.63,2.06,0.0,0.49,0.0,0.39,tumor
128,157,12878.73,39747.68,0.59,1.18,0.0,1.75,0.0,0.85,tumor
129,158,12738.34,39814.37,0.0,0.33,0.37,0.02,0.26,0.08,stroma
130,159,12694.86,39884.55,0.45,0.67,0.21,0.13,0.0,0.0,tumor
131,161,12649.75,40002.35,0.0,1.88,0.0,0.27,0.68,0.0,tumor
132,162,12384.06,39697.19,0.0,1.62,0.51,0.99,0.0,0.0,tumor
133,163,12691.56,39860.91,0.0,0.8,0.0,0.2,0.62,0.0,tumor
134,165,12668.34,39890.61,0.53,2.15,0.1,1.11,0.25,0.0,tumor
135,166,12748.5,39685.95,0.71,1.75,0.34,0.0,0.0,0.3,tumor
136,167,12618.28,39681.6,0.0,2.14,0.14,1.18,0.37,0.76,tumor
137,168,12399.73,39607.09,0.84,0.54,6.87,0.01,1.61,0.0,stroma
138,169,12576.27,39493.0,1.9,0.98,1.63,0.22,1.21,0.08,tumor
139,170,12929.18,39942.85,0.3,2.61,0.08,0.51,0.0,0.12,tumor
140,171,12879.4,39909.55,0.28,0.55,0.06,0.27,0.0,0.03,stroma
141,172,12571.24,39691.04,0.32,0.27,0.5,0.08,0.69,0.0,stroma
142,173,12805.99,39751.32,0.45,0.73,0.13,0.29,0.01,0.0,tumor
143,174,12491.25,39939.27,0.21,1.4,0.0,0.24,0.0,0.0,tumor
144,175,12339.15,39944.93,1.14,1.3,0.71,0.53,0.0,0.36,tumor
145,176,12855.93,39709.85,0.0,1.18,0.36,0.28,0.0,0.28,tumor
146,177,12470.93,39868.48,0.0,2.79,0.64,0.8,0.57,0.38,tumor
147,178,12862.4,39657.44,0.04,2.39,0.62,0.94,0.28,0.17,tumor
148,179,12460.08,39781.81,0.0,1.67,0.42,0.56,0.0,0.0,tumor
149,180,12493.52,39789.52,0.56,1.75,0.0,0.98,0.0,0.26,tumor
150,181,12635.56,39902.14,0.21,1.25,0.0,0.35,0.12,0.0,tumor
151,182,12473.69,39756.15,0.0,1.69,0.83,1.85,0.85,0.0,tumor
152,183,12459.72,39914.42,0.0,2.52,0.26,0.11,0.0,0.0,tumor
153,184,12710.17,39739.74,0.0,2.78,0.3,1.14,0.0,0.08,tumor
154,185,12486.87,39733.58,0.21,1.05,0.29,0.57,0.0,0.33,tumor
155,186,12840.52,39650.06,0.7,0.62,0.0,0.0,0.16,0.41,stroma
156,187,12560.73,39800.24,0.59,2.75,0.0,1.99,0.0,0.19,tumor
157,188,12396.66,39641.4,1.82,0.74,1.32,0.14,1.54,0.37,stroma
158,189,12725.74,39585.99,0.0,2.16,0.15,0.49,0.26,0.42,tumor
159,190,12454.45,39647.26,0.0,0.12,0.71,0.29,0.36,0.97,stroma
160,191,12369.09,39942.27,0.0,0.68,0.0,0.12,0.36,0.03,tumor
161,192,12660.88,39805.41,0.51,3.65,0.0,2.07,1.02,0.45,tumor
162,193,12925.76,39693.35,0.37,2.42,0.96,1.14,0.0,0.69,tumor
163,194,12826.89,39820.97,0.35,0.39,0.2,0.0,0.0,0.71,stroma
164,195,12544.33,39832.87,0.04,2.02,0.0,0.11,0.17,0.01,tumor
165,196,12586.2,39916.78,0.42,2.34,0.0,1.58,0.0,0.3,tumor
166,197,12548.67,39941.35,0.0,0.47,0.2,0.17,0.0,0.0,stroma
167,198,12692.38,39492.08,2.89,0.47,0.0,0.05,0.0,0.59,stroma
168,199,12921.15,39850.84,0.45,3.01,0.0,0.04,0.0,0.0,tumor
169,200,12521.39,39623.87,0.11,3.7,0.11,0.0,0.0,1.34,tumor
170,201,12866.45,39906.73,0.73,0.67,0.0,0.1,0.41,0.49,stroma
171,202,12718.3,39938.76,0.3,1.83,0.29,1.6,0.02,0.0,tumor
172,203,12636.11,39994.65,0.87,0.46,0.0,0.1,0.07,0.0,stroma
173,204,12595.91,39615.12,0.41,1.84,0.09,0.3,0.0,0.12,tumor
174,205,12770.92,39503.05,0.21,1.43,0.0,0.49,0.0,0.17,stroma
175,206,12877.26,39796.79,0.43,2.38,0.13,0.25,0.44,0.0,tumor
176,207,12389.69,39633.5,0.95,0.52,1.88,0.1,1.28,0.86,stroma
177,208,12654.93,39673.95,0.22,1.54,0.12,0.03,0.0,0.0,tumor
178,209,12591.49,39668.16,0.0,2.44,0.0,1.77,0.06,0.0,tumor
179,210,12592.83,39793.04,0.0,2.3,0.0,0.87,0.13,0.61,tumor
180,211,12667.97,39950.31,0.0,2.14,0.44,0.77,0.47,0.0,tumor
181,212,12618.8,39876.04,0.4,2.25,0.05,1.49,0.36,0.0,tumor
182,214,12667.87,39707.39,0.0,1.69,0.2,1.03,0.29,0.0,tumor
183,215,12614.46,39863.48,0.0,1.67,0.2,1.31,0.0,0.05,tumor
184,216,12658.85,39650.39,0.42,1.73,0.0,1.49,0.0,0.58,tumor
185,217,12650.1,39545.7,0.93,0.22,0.0,0.14,0.34,0.19,stroma
186,218,12632.05,39499.03,3.23,0.81,0.43,0.0,0.15,1.22,stroma
187,219,12764.89,39575.57,0.91,0.09,0.31,0.19,0.32,0.0,stroma
188,220,12797.64,39753.55,0.16,2.96,0.0,0.53,0.0,0.36,tumor
189,221,12559.84,39944.93,0.0,0.95,0.0,0.17,0.65,0.0,stroma
190,222,12852.72,39727.56,0.05,1.46,0.0,0.7,0.26,0.0,tumor
191,223,12931.25,39763.26,0.29,2.43,0.0,1.62,0.0,0.5,tumor
192,224,12895.79,39696.21,0.1,2.58,0.01,0.16,0.0,0.82,tumor
193,225,12762.82,39970.38,0.0,2.05,0.35,0.47,0.61,0.79,tumor
194,226,12745.96,39845.53,0.6,0.11,0.0,0.16,0.0,0.21,stroma
195,227,12897.55,39507.43,0.88,0.52,0.01,0.36,0.0,0.45,stroma
196,228,12348.08,39766.11,0.26,0.26,0.0,0.2,0.0,0.54,stroma
197,229,12911.37,40004.76,0.54,1.18,0.0,0.17,0.59,0.0,tumor
198,230,12821.99,39887.27,0.33,3.62,0.0,0.09,0.06,0.58,tumor
199,231,12855.22,39779.45,0.09,1.5,0.0,0.0,0.0,0.49,tumor
200,232,12373.02,39715.24,0.0,2.03,0.32,0.0,0.0,0.16,tumor
201,233,12855.62,39544.84,0.0,1.38,0.14,1.79,0.0,0.0,tumor
202,234,12530.5,39924.7,0.0,1.74,0.1,0.05,0.0,0.65,tumor
203,235,12478.33,39572.57,1.94,0.43,0.1,0.01,0.0,0.67,stroma
204,236,12385.6,39912.36,0.56,2.36,0.0,0.0,0.37,0.47,tumor
205,237,12393.63,39908.09,0.0,2.52,0.0,0.0,0.04,0.19,tumor
206,238,12471.13,39619.34,3.71,0.52,0.95,0.33,0.59,0.0,stroma
207,239,12720.77,39507.83,0.14,4.85,0.2,0.28,0.0,1.0,tumor
208,240,12611.2,39506.14,2.06,1.42,0.74,0.21,0.13,6.35,tumor
209,241,12624.39,39744.31,0.0,0.38,0.48,0.2,0.0,0.24,stroma
210,242,12507.12,39820.59,0.68,2.23,0.05,0.0,0.58,0.16,tumor
211,243,12891.02,39719.34,0.64,2.26,0.32,0.0,0.0,0.0,tumor
212,244,12570.53,39532.65,2.35,1.42,0.0,0.0,0.46,1.35,tumor
213,245,12552.84,39650.31,0.53,2.16,0.0,0.11,0.0,0.06,tumor
214,246,12687.02,39654.81,0.0,1.13,0.05,0.0,0.12,0.0,tumor
215,247,12379.09,39869.94,0.0,0.97,0.0,0.91,0.35,0.51,tumor
216,248,12835.07,39707.42,0.0,1.86,0.0,1.18,0.16,0.0,tumor
217,249,12695.35,39625.97,0.0,0.83,0.26,0.0,0.0,0.68,stroma
218,250,12734.5,39659.1,0.71,1.84,0.0,0.15,0.1,0.0,tumor
219,252,12673.32,39876.14,0.41,1.57,0.0,1.54,0.64,0.0,tumor
220,253,12490.65,39609.22,0.05,0.37,0.28,0.11,0.5,0.31,stroma
221,254,12730.62,39915.36,0.61,0.06,0.44,0.14,0.0,0.16,stroma
222,255,12667.57,39931.63,0.0,1.82,0.49,0.14,0.0,0.0,tumor
223,256,12363.65,39911.14,0.0,1.98,0.29,0.15,0.04,0.46,tumor
224,257,12638.77,39797.41,0.81,0.11,0.68,0.18,0.31,0.0,tumor
225,258,12831.41,40032.93,0.0,1.99,0.1,0.79,0.85,0.03,tumor
226,259,12605.34,39765.48,0.0,3.67,0.2,1.42,0.0,0.0,tumor
227,260,12472.72,39511.9,0.0,2.94,0.0,0.29,0.0,0.65,tumor
228,261,12703.83,39618.35,0.72,0.25,0.35,0.11,0.46,0.41,stroma
229,262,12563.81,39783.61,0.0,0.03,0.0,0.45,0.44,0.0,tumor
230,264,12882.87,39532.56,0.3,6.98,0.0,1.19,0.0,0.69,tumor
231,265,12698.55,39488.0,2.28,0.48,0.69,0.4,0.0,0.31,stroma
232,266,12929.54,39911.47,0.17,2.94,0.29,0.2,0.0,0.24,tumor
233,267,12589.73,39552.23,1.31,1.22,0.0,0.1,0.0,0.55,tumor
234,268,12563.3,39510.5,2.83,1.85,0.0,0.0,0.0,0.16,tumor
235,269,12490.65,39688.18,0.0,1.31,0.0,0.37,0.38,0.09,tumor
236,270,12842.71,39878.05,0.21,0.48,0.51,0.0,0.35,0.18,stroma
237,271,12810.12,39707.17,0.0,1.28,0.0,0.09,0.0,0.47,tumor
238,272,12401.31,39622.84,0.0,1.94,0.85,0.0,0.69,0.0,tumor
239,273,12656.65,39604.52,0.14,2.05,0.0,1.67,0.52,0.63,tumor
240,274,12688.78,39986.13,0.0,1.8,0.31,0.49,0.3,0.24,tumor
241,275,12792.4,39752.5,0.0,2.77,0.11,0.37,0.0,0.0,tumor
242,276,12732.65,39500.86,7.1,0.74,1.73,0.27,2.21,0.18,stroma
243,277,12810.95,39877.87,0.05,2.28,0.0,0.07,0.0,0.03,tumor
244,278,12461.8,39563.23,1.93,0.6,1.14,0.26,0.98,0.06,stroma
245,279,12568.74,39492.99,1.03,0.65,0.57,0.0,0.47,0.0,stroma
246,281,12884.07,39620.84,0.0,3.69,0.19,0.58,0.0,0.18,tumor
247,282,12675.63,39558.75,0.78,0.09,0.49,0.13,0.34,0.23,stroma
248,283,12600.51,39770.75,0.62,3.39,0.0,1.65,0.7,0.98,tumor
249,284,12427.08,39820.56,0.22,2.64,0.0,0.63,0.3,0.4,tumor
250,285,12921.1,39928.59,0.28,1.05,0.0,0.28,0.47,0.0,tumor
251,286,12769.32,39554.69,0.46,0.14,0.0,0.0,0.0,0.0,stroma
252,287,12407.08,39626.99,0.94,4.4,0.51,0.24,0.7,0.85,tumor
253,288,12614.28,39919.98,0.0,1.96,0.0,0.68,0.6,0.0,tumor
254,289,12755.75,39701.98,1.62,1.44,0.31,0.76,0.0,0.0,tumor
255,290,12465.7,39754.18,0.0,1.85,0.0,0.3,0.05,0.0,tumor
256,291,12919.33,39835.63,0.0,2.15,0.19,0.12,0.0,0.11,tumor
257,292,12398.15,39794.05,0.42,3.36,0.0,0.65,0.34,0.15,tumor
258,293,12473.65,39580.84,1.76,0.49,1.39,0.0,1.74,0.55,stroma
259,294,12447.57,39653.51,2.63,0.43,0.3,0.15,0.34,0.43,stroma
260,295,12858.09,39498.75,0.5,3.2,0.16,0.06,0.34,0.67,tumor
261,296,12411.22,39575.12,1.25,0.98,0.27,0.07,0.55,0.4,stroma
262,297,12531.23,39838.45,0.0,0.53,0.0,0.09,0.58,0.67,tumor
263,299,12726.47,39550.26,1.53,2.9,0.26,0.0,1.26,0.71,tumor
264,300,12715.49,39953.98,0.37,1.5,0.48,1.63,0.71,0.95,tumor
265,301,12615.27,39903.77,0.58,2.41,0.61,0.88,0.0,0.0,tumor
266,302,12411.75,39812.49,0.16,2.56,0.4,1.46,0.02,0.18,tumor
267,303,12593.86,39688.51,0.07,2.07,0.0,0.52,0.48,0.21,tumor
268,305,12515.14,39633.44,2.73,0.56,0.0,0.04,0.0,0.91,stroma
269,306,12376.34,39851.12,0.0,3.73,0.0,0.37,0.99,0.29,tumor
270,307,12740.69,39592.02,0.0,2.67,0.0,0.02,0.0,0.0,tumor
271,308,12576.49,39841.22,0.0,1.89,0.03,1.57,0.0,0.2,tumor
272,309,12511.23,39778.35,0.54,1.78,0.0,1.04,0.9,0.51,tumor
273,310,12869.97,39479.84,0.69,0.51,0.46,0.04,0.99,0.64,stroma
274,311,12450.67,39841.13,0.4,1.87,0.0,0.22,0.0,0.0,tumor
275,312,12696.06,39935.92,0.0,2.53,0.17,0.83,0.4,0.48,tumor
276,313,12888.87,39728.29,0.0,2.2,0.53,0.3,0.2,0.39,tumor
277,314,12665.82,39712.74,0.02,2.72,0.0,1.72,0.16,0.32,tumor
278,315,12354.82,39875.21,0.23,0.62,0.0,0.06,0.49,0.01,stroma
279,316,12810.05,39575.64,0.12,2.51,0.0,0.17,0.0,0.07,tumor
280,317,12929.87,39784.58,0.0,1.57,0.29,1.61,0.0,0.03,tumor
281,318,12511.32,39770.19,0.38,1.72,0.57,0.52,0.0,0.03,tumor
282,319,12803.77,39822.04,0.07,0.1,0.0,0.0,0.51,0.24,stroma
283,320,12845.29,40055.95,0.21,2.05,0.0,1.7,0.0,0.3,tumor
284,321,12500.19,39682.34,1.26,1.52,0.26,0.21,0.0,0.98,tumor
285,322,12604.03,39506.46,0.35,1.83,0.36,0.04,0.0,0.46,tumor
286,323,12634.39,39755.12,0.0,5.2,0.07,0.18,0.0,0.28,tumor
287,324,12747.97,39837.61,0.0,2.3,0.45,2.04,0.0,0.03,tumor
288,325,12894.74,39959.61,0.0,0.83,0.0,0.37,0.14,0.99,tumor
289,326,12685.47,39954.21,0.28,2.27,0.02,0.91,0.27,0.69,tumor
290,327,12479.49,39585.21,0.75,0.97,1.17,0.02,0.02,0.0,stroma
291,328,12477.75,39948.22,0.18,2.27,0.48,0.15,0.33,0.63,tumor
292,329,12763.99,40020.01,0.0,1.11,0.0,0.24,0.08,0.65,tumor
293,330,12883.34,40028.38,0.07,0.39,0.45,0.0,0.48,0.02,stroma
294,331,12913.81,39536.51,0.74,0.7,3.55,0.12,0.34,0.51,stroma
295,332,12789.4,39856.54,0.0,2.58,0.0,0.98,1.12,0.0,tumor
296,333,12569.71,39601.74,0.0,0.89,0.0,0.07,0.0,0.0,stroma
297,334,12492.97,39641.81,0.68,0.34,0.0,0.11,0.89,0.24,stroma
298,335,12617.84,39707.19,0.0,3.61,0.0,1.46,0.55,0.28,tumor
299,336,12547.79,39819.7,0.14,2.55,0.0,0.2,0.0,0.0,tumor
300,337,12681.04,39590.11,1.7,2.46,0.35,0.1,0.4,0.04,tumor
301,338,12914.54,39946.72,0.34,0.56,0.0,0.0,0.09,0.16,tumor
302,339,12411.81,39611.66,1.11,1.62,0.24,0.34,0.24,0.0,tumor
303,340,12605.7,39739.43,0.0,0.14,0.75,0.03,0.05,0.1,stroma
304,341,12397.94,39725.91,0.54,2.71,0.25,0.14,0.38,0.02,tumor
305,342,12463.92,39653.37,1.03,0.2,0.4,0.19,0.0,0.74,stroma
306,343,12815.21,39676.36,0.0,1.66,0.6,0.12,0.0,0.47,tumor
307,344,12875.64,39762.61,0.0,1.71,0.0,1.23,0.3,0.0,tumor
308,345,12679.73,39759.31,0.0,1.15,0.0,0.32,0.39,0.0,tumor
309,347,12707.31,39754.2,0.12,2.07,0.0,0.02,0.0,0.0,tumor
310,348,12543.44,39694.42,0.0,2.2,0.07,0.27,0.11,0.0,tumor
311,349,12596.36,39861.15,0.0,1.7,0.15,0.69,0.0,0.08,tumor
312,350,12919.97,39645.38,2.61,0.36,0.0,0.21,0.18,0.87,stroma
313,351,12803.51,39890.31,0.0,3.81,0.19,1.2,0.18,1.0,tumor
314,352,12508.5,39855.72,0.0,2.48,0.22,0.0,0.05,0.9,tumor
315,353,12647.66,39793.09,0.28,1.18,0.13,0.0,0.13,0.0,tumor
316,354,12519.7,39708.63,0.0,1.35,0.0,1.49,0.01,0.0,tumor
317,355,12386.42,39823.48,0.0,3.09,0.0,0.0,0.62,0.87,tumor
318,356,12884.33,39700.35,0.54,1.96,0.2,0.19,0.0,0.0,tumor
319,357,12593.72,39741.09,0.0,2.37,0.2,0.33,0.01,0.47,tumor
320,358,12707.74,39493.83,4.51,1.24,1.82,0.27,3.25,1.34,tumor
321,359,12762.08,39803.62,0.0,2.99,0.0,0.28,0.24,0.09,tumor
322,360,12843.71,39971.35,0.0,0.69,0.0,0.19,0.0,0.39,stroma
323,361,12606.05,39580.78,4.73,0.64,1.85,0.03,0.22,0.0,stroma
324,362,12867.18,39937.2,0.35,0.49,0.0,0.0,0.22,0.0,stroma
325,363,12697.2,39611.05,1.61,0.44,0.0,0.0,0.08,0.21,stroma
326,364,12397.78,39751.33,0.03,2.21,0.2,0.18,0.36,0.53,tumor
327,365,12618.09,39735.59,0.45,0.4,0.72,0.17,0.13,0.0,stroma
328,366,12768.29,39833.68,0.0,2.22,0.0,0.09,0.0,0.03,tumor
