,cell.ID,nucleus.x,nucleus.y,PD1.score.normalized,CK.score.normalized,Ki67.score.normalized,GB.score.normalized,CD8.score.normalized,PDL1.score.normalized,tissue.type
112,155,12982.01,34870.67,0.05,0.02,0.09,0.03,0.49,0.06,stroma
113,156,13097.64,35045.53,1.11,1.52,1.01,0.87,4.69,3.61,tumor
114,157,12824.87,35012.99,0.0,0.09,0.72,0.0,0.8,0.01,stroma
115,158,12929.41,34947.01,0.01,0.0,0.77,0.36,0.07,0.02,stroma
116,159,12780.45,34916.48,0.01,0.05,0.0,0.82,0.41,0.28,stroma
117,161,12728.4,35011.6,0.0,0.13,0.11,0.0,0.39,0.0,stroma
118,162,12626.76,35025.46,0.18,0.14,0.54,0.03,0.0,0.54,stroma
119,163,12919.64,34970.8,0.03,0.06,0.44,0.62,0.05,0.35,stroma
120,164,13034.9,35034.75,0.07,0.17,0.06,0.54,1.05,0.3,stroma
121,165,12969.56,35079.71,0.08,0.07,0.0,0.35,0.0,0.0,stroma
122,166,13110.05,35078.58,0.0,0.01,0.33,1.08,0.14,0.0,stroma
123,167,12757.08,34848.42,0.05,0.15,0.0,0.0,0.0,0.0,stroma
124,168,13016.12,35010.03,0.02,0.11,0.0,0.0,0.03,0.0,stroma
125,169,13058.64,34953.24,0.11,0.26,0.49,0.0,2.88,0.0,stroma
126,171,12823.64,35047.09,0.05,0.0,0.0,0.73,0.0,0.0,stroma
127,172,12810.98,35095.49,0.03,0.08,0.13,0.0,0.26,0.41,stroma
128,173,12787.69,34877.82,0.07,0.09,0.0,0.07,3.36,0.03,stroma
129,174,13092.96,35084.48,0.0,0.0,0.0,0.23,0.44,0.23,stroma
130,175,13110.34,34747.27,0.07,0.0,0.27,0.12,0.08,0.0,stroma
131,176,12649.99,34984.43,0.51,0.33,0.05,0.16,0.0,0.14,stroma
132,177,12880.37,35096.32,0.0,0.16,0.0,0.14,0.35,0.46,stroma
133,178,12881.39,34860.8,0.18,0.23,2.15,0.0,0.36,0.13,stroma
134,179,13090.83,34977.7,0.55,0.71,0.0,0.0,0.55,1.42,stroma
135,182,12890.43,34840.56,0.01,0.08,0.0,0.97,0.0,0.3,stroma
136,184,12740.77,34841.47,0.08,0.02,0.0,0.63,0.18,0.07,stroma
137,185,13065.74,34959.83,0.24,0.49,0.25,0.6,2.4,0.74,stroma
138,188,13078.92,34944.36,0.12,0.15,0.16,0.0,0.03,0.51,stroma
139,189,12853.14,34888.14,0.07,0.26,0.16,0.07,0.0,0.13,stroma
140,190,12769.6,34863.26,0.02,0.19,0.0,0.49,0.04,0.0,stroma
141,191,12776.07,34755.93,0.03,0.0,0.09,0.0,0.54,0.0,stroma
142,192,13097.46,35025.57,0.8,2.34,0.41,2.14,1.25,2.6,tumor
143,193,12638.33,35022.96,0.21,0.31,0.0,0.03,0.13,0.19,stroma
144,194,12873.18,34883.81,0.1,1.41,0.0,0.85,0.15,0.0,stroma
145,195,12867.26,34883.74,0.08,1.9,0.64,0.0,0.32,0.27,stroma
146,196,12745.68,35025.83,0.04,0.0,0.22,0.12,0.08,0.0,stroma
147,197,12622.39,35076.75,0.04,0.0,0.0,0.0,0.01,0.0,stroma
148,198,12639.15,34974.28,0.06,0.02,0.03,0.38,0.0,0.0,stroma
149,201,13064.52,34942.68,0.25,0.5,0.0,0.0,0.23,0.85,stroma
150,204,12584.53,35046.77,0.04,0.01,0.03,0.0,0.0,0.0,stroma
151,205,12803.93,34883.17,0.28,0.85,0.65,0.5,0.49,0.37,stroma
152,208,12797.06,35119.03,0.05,0.04,0.14,0.26,0.0,0.0,stroma
153,209,12797.67,34760.79,0.3,1.99,0.3,0.48,0.39,0.13,tumor
154,212,12981.35,34902.98,0.05,0.13,0.23,0.73,0.0,0.21,stroma
155,213,12708.57,34986.79,0.06,0.1,0.0,0.07,0.11,0.22,stroma
156,214,13053.78,34942.17,0.37,0.3,0.17,0.64,2.12,0.47,stroma
157,215,13015.01,35190.16,0.01,0.06,0.39,0.26,0.0,0.39,stroma
158,216,12974.25,34913.33,0.02,0.2,0.45,0.24,0.37,0.11,stroma
159,217,13082.72,34962.22,0.13,0.12,0.0,0.0,0.08,0.68,stroma
160,218,13020.98,35013.81,0.13,0.21,0.0,0.0,0.39,0.24,stroma
161,219,13079.79,35044.14,0.23,0.92,0.0,0.63,0.33,0.11,stroma
162,221,13103.71,34969.76,0.0,0.0,0.08,0.6,0.38,0.04,stroma
163,222,12858.41,34885.08,0.15,0.49,0.48,0.0,0.78,0.38,stroma
164,223,12873.86,34862.09,0.31,0.45,2.63,0.0,0.32,0.37,stroma
165,224,12968.16,34937.31,0.32,0.0,0.39,0.34,0.28,0.61,stroma
166,225,12928.6,34949.49,0.05,0.12,0.66,0.32,0.11,0.2,stroma
167,226,13062.73,35009.21,0.57,0.55,0.17,0.52,0.84,2.12,stroma
168,227,12964.41,35091.93,0.08,0.08,0.23,0.0,0.0,0.31,stroma
169,228,12873.29,35110.6,0.04,0.02,0.06,0.0,0.0,0.21,stroma
170,229,12857.71,34840.74,0.05,0.12,0.0,0.12,0.0,0.53,stroma
171,230,12979.05,34921.88,0.03,0.0,0.0,0.44,0.0,0.0,stroma
172,231,13077.44,35030.73,2.18,6.46,5.34,0.56,13.86,3.63,tumor
173,232,13025.94,35033.29,0.02,0.19,0.36,0.08,0.0,0.0,stroma
174,233,12635.17,35035.68,0.04,0.05,0.0,0.78,0.32,0.04,stroma
175,234,12824.17,35110.85,0.01,0.06,0.0,0.34,0.0,0.0,stroma
176,235,12965.07,35074.93,0.0,0.0,0.2,0.05,0.0,0.0,stroma
177,237,12846.35,35106.75,0.0,0.07,0.0,0.82,0.36,0.34,stroma
178,238,13096.39,34978.12,0.5,0.15,0.24,2.69,0.58,0.82,stroma
179,239,12644.51,35021.75,0.11,0.71,0.15,0.0,0.0,0.12,stroma
180,240,12820.54,35054.28,0.04,0.09,0.0,0.23,0.39,0.06,stroma
181,243,13016.39,35227.07,0.05,0.02,0.0,0.06,0.29,0.0,stroma
182,244,13097.71,35004.42,1.09,1.35,0.94,0.76,1.01,2.23,tumor
183,245,13052.63,34925.75,0.01,0.09,0.2,0.12,0.0,0.04,stroma
184,247,12982.62,34890.58,0.08,0.02,1.78,0.0,0.41,0.43,stroma
185,248,12979.25,34893.45,0.08,0.08,1.27,0.21,0.0,0.13,stroma
186,251,12922.2,34974.96,0.06,0.12,0.0,0.08,0.18,0.32,stroma
187,252,12821.78,34913.85,0.05,0.11,0.23,0.24,0.1,0.0,stroma
188,253,12774.48,34738.33,0.05,0.17,0.02,0.0,0.15,0.15,stroma
189,254,12784.76,34749.03,0.1,0.58,0.51,0.0,0.26,0.44,stroma
190,256,13088.06,35036.32,0.5,4.26,3.06,0.06,2.07,1.91,tumor
191,257,12716.67,35003.26,0.06,0.07,0.0,0.05,0.18,0.03,stroma
192,258,13056.16,34961.45,0.14,0.58,0.42,0.0,0.15,0.6,stroma
193,261,12633.51,35027.98,0.02,0.22,0.0,0.0,0.39,0.04,stroma
194,263,12747.42,35053.08,0.06,0.0,0.16,0.0,0.3,0.0,stroma
195,264,12838.23,35121.59,0.0,0.06,0.32,0.55,0.22,0.0,stroma
196,265,13051.99,35055.79,0.07,0.03,0.55,0.77,0.13,0.11,stroma
197,266,13046.86,34957.58,0.04,0.2,2.02,0.79,0.45,0.66,stroma
198,268,12958.1,34999.52,0.01,0.02,0.01,0.7,0.34,0.0,stroma
199,269,12882.68,34926.49,0.0,0.04,0.39,0.01,0.38,0.15,stroma
200,270,12882.45,34921.43,0.01,0.14,0.0,0.43,0.14,0.11,stroma
201,271,13083.42,34934.56,0.01,0.11,0.0,0.11,0.0,0.32,stroma
202,272,12707.68,34852.56,0.0,0.0,0.0,0.61,0.0,0.31,stroma
203,274,12766.9,34913.22,0.0,0.06,0.09,0.27,0.0,0.0,stroma
204,275,12802.71,35055.38,0.0,0.03,0.46,0.04,0.0,0.17,stroma
205,276,12827.54,34878.24,0.05,0.05,0.35,0.0,0.0,0.0,stroma
206,277,13081.16,35034.7,0.43,4.32,0.73,1.12,0.89,1.77,tumor
207,278,13065.89,35017.9,0.66,1.52,0.0,1.0,3.46,2.07,tumor
208,279,12913.98,34936.89,0.16,0.11,0.43,0.41,1.17,0.51,stroma
209,280,13068.28,35033.0,0.39,5.48,0.1,0.38,0.33,1.45,tumor
210,281,12792.3,34868.56,0.09,0.19,0.0,0.7,0.19,0.03,stroma
211,284,13048.96,34991.73,0.06,0.03,0.0,0.1,0.37,0.2,stroma
212,285,12802.29,35114.81,0.09,0.23,0.0,0.04,0.0,0.46,stroma
213,286,12984.65,35156.13,0.0,0.05,0.0,0.0,0.06,0.0,stroma
214,287,13024.2,34981.6,0.02,0.08,0.0,0.0,0.59,0.0,stroma
215,288,12700.85,35007.12,0.03,0.28,0.36,0.0,0.2,0.11,stroma
216,289,13115.43,35024.23,1.39,2.31,0.66,1.88,3.08,2.88,tumor
217,290,12927.29,34965.73,0.0,0.18,0.0,0.25,0.08,0.0,stroma
218,291,12752.46,34836.1,0.0,0.0,0.0,0.0,0.0,0.0,stroma
219,293,12850.91,34884.9,0.17,0.14,0.0,0.18,0.42,0.33,stroma
220,295,12798.93,34741.66,0.14,0.4,0.15,0.17,0.0,0.31,stroma
221,296,12810.21,34749.36,0.18,1.04,0.0,0.0,0.13,0.35,stroma
222,299,13117.5,34996.55,1.17,1.39,0.9,0.75,1.36,2.78,tumor
223,300,12916.3,34965.15,0.08,0.19,0.28,0.06,0.19,0.19,stroma
224,301,12885.08,34909.6,0.03,0.14,0.31,0.62,0.09,0.4,stroma
225,302,13097.13,34723.58,0.04,0.0,0.33,0.02,0.14,0.11,stroma
226,303,13130.79,34765.48,0.0,0.1,0.07,0.0,0.0,0.0,stroma
227,304,12795.04,34754.09,0.23,1.71,0.0,0.0,0.17,0.28,tumor
228,305,12864.58,34871.26,0.27,1.74,0.3,1.46,2.01,0.57,stroma
229,306,12870.23,34912.05,0.02,0.04,0.0,0.0,0.0,0.0,stroma
230,307,13170.3,34780.77,0.11,0.06,0.16,0.25,0.36,0.28,stroma
231,308,13034.28,34949.48,0.21,0.32,0.98,0.07,1.0,0.42,stroma
232,309,13078.82,35013.56,0.69,2.66,0.11,0.98,1.0,2.19,tumor
233,312,12797.15,34870.32,0.02,0.35,0.41,0.0,1.01,0.0,stroma
234,313,12809.96,34761.81,0.12,0.35,0.48,0.46,4.33,0.45,stroma
235,315,12774.97,34916.03,0.06,0.0,0.0,0.28,0.28,0.0,stroma
236,316,12967.46,34989.32,0.02,0.08,0.55,0.0,0.02,0.38,stroma
237,317,12984.48,35149.76,0.06,0.15,0.04,0.0,0.22,0.17,stroma
238,319,13149.25,34768.23,0.07,0.13,0.0,2.11,0.07,0.0,stroma
239,321,12744.32,35048.58,0.03,0.16,0.2,0.0,0.32,0.09,stroma
240,322,13075.08,34955.91,0.12,0.22,0.0,0.0,0.25,0.35,stroma
241,323,12855.49,34844.9,0.02,0.12,0.23,0.72,0.28,0.04,stroma
242,324,12873.62,34876.99,0.47,0.92,0.53,0.69,5.31,0.86,stroma
243,325,13081.69,34962.91,0.21,0.43,0.23,1.2,0.59,0.22,stroma
244,326,12816.99,35024.2,0.07,0.04,0.0,0.0,0.33,0.0,stroma
245,328,13169.6,35412.42,0.05,0.02,0.0,0.0,0.59,0.0,stroma
246,329,13107.14,35758.43,0.0,0.0,0.0,0.0,0.57,0.0,stroma
247,330,13135.39,35380.75,0.03,0.01,0.0,0.32,0.29,0.09,stroma
248,331,13101.38,35658.45,0.04,0.0,0.06,0.38,0.0,0.0,stroma
249,333,13074.38,35319.56,0.07,0.15,0.0,0.0,0.01,0.13,stroma
250,337,13133.29,35425.37,0.03,0.06,0.41,0.02,0.02,0.09,stroma
251,339,13090.29,35695.67,0.01,0.0,0.24,0.31,0.0,0.0,stroma
252,340,13144.89,35594.59,0.0,0.01,0.48,0.78,0.0,0.0,stroma
253,341,13140.22,35510.54,0.0,0.12,0.66,0.0,0.62,0.34,stroma
254,344,13101.08,35713.48,0.0,0.01,0.68,0.0,0.0,0.23,stroma
255,345,13085.46,35669.58,0.0,0.03,0.24,0.01,0.03,0.06,stroma
256,347,13101.76,35731.97,0.04,0.1,0.56,0.18,0.01,0.22,stroma
257,350,13161.62,35581.26,0.0,0.0,0.55,0.63,0.02,0.08,stroma
258,352,13148.43,35381.19,0.06,0.0,0.36,0.36,0.95,0.41,stroma
259,354,13073.48,35666.56,0.08,0.0,0.14,0.0,0.0,0.0,stroma
260,357,13119.84,35758.38,0.0,0.11,0.49,0.0,0.26,0.0,stroma
261,359,13088.26,35738.15,0.02,0.0,0.0,0.29,0.2,0.08,stroma
262,360,13138.74,35409.31,0.08,0.08,0.24,0.59,0.52,0.31,stroma
263,361,13146.43,35517.75,0.0,0.03,0.0,0.0,0.29,0.0,stroma
264,362,13126.02,35416.07,0.0,0.04,0.0,0.0,0.31,0.28,stroma
265,363,13164.72,35507.88,0.03,0.0,0.0,1.06,0.01,0.3,stroma
266,364,13090.64,35344.03,0.07,0.08,0.17,0.0,0.0,0.16,stroma
267,366,13047.01,35354.64,0.03,0.03,0.29,0.67,0.0,0.1,stroma
268,368,13128.26,35608.63,0.03,0.08,0.37,0.07,0.07,0.16,stroma
269,371,13114.47,35627.81,0.0,0.0,0.75,0.0,0.16,0.41,stroma
270,372,13094.75,35698.72,0.05,0.0,0.16,0.0,0.25,0.0,stroma
271,375,13156.95,35801.79,0.0,0.0,0.03,0.0,0.33,0.0,stroma
272,376,13100.15,35364.98,0.05,0.18,0.0,0.0,0.0,0.12,stroma
273,377,13025.91,35326.88,0.03,0.0,0.0,0.53,0.32,0.0,stroma
274,379,13146.42,35788.89,0.06,0.0,0.42,0.16,0.19,0.08,stroma
275,380,13080.3,35684.12,0.02,0.0,0.18,0.0,0.0,0.25,stroma
276,381,13093.87,35699.26,0.04,0.05,0.64,0.19,0.32,0.0,stroma
277,382,13144.77,35517.04,0.05,0.0,0.0,0.03,0.0,0.0,stroma
278,383,13106.72,35651.76,0.0,0.02,0.16,0.0,0.0,0.32,stroma
279,384,13105.84,35729.62,0.04,0.08,0.0,0.0,0.0,0.22,stroma
280,385,13089.37,35681.28,0.01,0.01,0.0,0.42,0.0,0.08,stroma
281,387,13117.69,35743.1,0.01,0.01,0.63,0.0,0.0,0.04,stroma
282,388,13132.02,35501.92,0.03,0.0,0.33,0.25,0.0,0.17,stroma
283,390,13128.65,35775.82,0.0,0.15,0.97,0.0,0.0,0.0,stroma
284,391,13101.89,35667.73,0.02,0.0,0.84,0.0,0.15,0.0,stroma
285,392,13109.31,35735.52,0.0,0.03,0.09,0.28,0.0,0.0,stroma
286,393,13065.02,35673.66,0.03,0.0,0.0,0.57,0.0,0.0,stroma
287,394,13099.19,35686.28,0.02,0.0,0.52,0.0,0.12,0.0,stroma
288,396,13088.53,35714.66,0.01,0.0,0.0,0.19,0.02,0.26,stroma
289,397,13009.76,35325.93,0.0,0.0,0.31,0.0,0.06,0.0,stroma
290,398,13084.11,35722.26,0.06,0.0,0.26,0.02,0.07,0.0,stroma
291,522,13749.19,33752.33,0.46,4.23,7.52,1.46,1.36,1.75,tumor
292,524,13762.39,33739.14,0.56,5.14,1.87,2.28,0.39,1.85,tumor
293,526,13713.01,33960.78,0.04,0.02,0.0,0.64,0.0,0.01,stroma
294,527,13731.88,33997.09,0.0,0.05,0.0,0.33,0.2,0.21,stroma
295,531,13734.41,33759.66,0.51,0.3,2.57,0.0,1.87,1.74,stroma
296,533,13739.59,33751.8,0.33,0.32,5.82,0.6,0.78,1.18,stroma
297,536,13748.22,33953.95,0.0,0.08,0.09,0.07,0.0,0.0,stroma
298,541,13734.61,33970.28,0.1,0.04,0.64,1.1,0.0,0.15,stroma
299,542,13721.02,33993.56,0.01,0.09,0.33,0.15,0.0,0.08,stroma
300,543,13725.93,33960.82,0.02,0.16,0.0,0.08,0.32,0.09,stroma
301,546,13718.4,33960.99,0.02,0.12,0.5,0.0,0.0,0.34,stroma
302,547,13734.61,33758.0,0.61,0.07,0.34,0.28,1.28,1.05,stroma
303,549,13720.2,33758.06,0.15,0.17,0.0,0.0,0.4,0.96,stroma
304,550,13699.46,33982.56,0.02,0.13,0.0,0.31,0.03,0.42,stroma
305,553,13746.47,34582.28,0.69,0.69,0.09,0.38,1.82,1.83,stroma
306,554,13234.05,34499.61,0.24,0.39,0.0,0.0,0.04,0.88,stroma
307,556,13601.74,34421.6,1.15,0.16,0.31,0.66,0.36,3.64,stroma
308,557,13218.99,34490.4,0.39,0.34,0.0,0.18,0.91,2.54,stroma
309,558,13746.13,34563.87,0.47,0.2,0.34,0.0,0.0,0.63,stroma
310,559,13716.19,34578.46,0.07,0.05,0.0,0.0,0.0,0.0,stroma
311,560,13724.35,34624.98,0.37,0.35,2.07,0.0,0.0,0.6,stroma
312,561,13602.33,34419.24,1.69,2.49,1.79,0.0,1.3,2.44,tumor
313,562,13205.06,34487.16,0.8,1.27,0.34,0.44,0.97,3.65,tumor
314,565,13227.37,34352.41,0.22,0.2,0.09,0.0,0.04,0.48,stroma
315,566,13191.27,34481.96,1.54,1.53,0.71,0.0,2.03,2.49,tumor
316,567,13680.7,34593.12,0.0,0.04,0.46,0.55,0.0,0.14,stroma
317,568,13195.67,34508.18,0.05,0.15,0.08,0.52,0.02,0.24,stroma
318,569,13194.85,34515.49,0.04,0.1,0.23,0.27,0.14,0.02,stroma
319,570,13230.79,34531.71,0.16,0.12,0.51,0.0,0.26,0.01,stroma
320,571,13309.89,34536.41,0.65,1.15,1.09,0.43,0.55,1.81,stroma
321,572,13425.7,34651.19,0.15,0.13,0.24,1.02,0.47,0.34,stroma
322,573,13570.66,34256.84,0.8,3.14,3.66,0.24,0.38,2.41,tumor
323,574,13319.05,34518.56,0.55,0.16,0.19,0.0,0.0,2.81,stroma
324,575,13658.74,34517.69,0.07,0.02,0.34,0.0,0.51,0.15,stroma
325,576,13510.6,34708.37,0.24,0.13,0.34,0.0,0.04,0.98,stroma
326,577,13563.39,34239.61,0.69,7.92,3.79,0.17,4.03,2.52,tumor
327,578,13513.45,34702.55,0.05,0.11,0.0,0.0,0.44,0.08,stroma
328,579,13497.12,34700.01,0.0,0.09,0.18,0.26,0.22,0.07,stroma
